Date,Description,Amount,Category
25-03-2023,INFOSYS SALARY,120120.91,Salary
14-07-2023,MCDONALDS,1211.4,Food
23-04-2024,DISNEY+ HOTSTAR,1320.11,Entertainment
22-06-2023,BLINKIT,805.31,Food
06-06-2023,FLIPKART,4002.77,Shopping
10-12-2023,JIO FIBER,540.56,Utilities
09-03-2023,STARBUCKS,920.28,Food
12-08-2023,ACH DEBIT - HDFC HOME LOAN,30700.64,EMI
17-06-2023,PPF TRANSFER,14756.15,Investment
26-08-2023,SPOTIFY PREMIUM,1046.06,Entertainment
30-09-2023,FLIPKART,3095.77,Shopping
05-11-2024,MYNTRA,5848.95,Shopping
19-08-2024,PVR CINEMAS,1337.21,Entertainment
21-03-2024,DISNEY+ HOTSTAR,375.06,Entertainment
06-02-2024,NPS CONTRIBUTION,18956.47,Investment
17-09-2023,DOMINOS PIZZA,1883.21,Food
22-01-2024,IGL GAS BILL,1598.28,Utilities
08-09-2023,IGL GAS BILL,1698.48,Utilities
15-11-2024,UNIQLO,4751.52,Shopping
09-09-2024,UPI/KFC,652.27,Food
22-01-2024,JIO FIBER,703.78,Utilities
05-11-2024,UPI/ZOMATO,1385.67,Food
21-01-2024,UPI/KFC,696.48,Food
20-11-2023,ZARA,6772.81,Shopping
14-01-2024,UPI/SWIGGY,872.92,Food
15-06-2024,FLIPKART,3820.09,Shopping
05-07-2023,ZERODHA BROKING,8685.47,Investment
07-09-2024,DISNEY+ HOTSTAR,405.77,Entertainment
21-04-2024,IGL GAS BILL,1518.92,Utilities
09-12-2024,UPI/DECATHLON,5448.99,Shopping
08-07-2024,BOOKMYSHOW,1497.96,Entertainment
10-11-2024,MCDONALDS,191.4,Food
10-01-2024,GROWW SIP,16937.85,Investment
15-04-2024,UPI/KFC,1404.33,Food
31-03-2023,MYNTRA,4946.21,Shopping
03-04-2023,MYNTRA,4795.13,Shopping
01-04-2023,PVR CINEMAS,692.47,Entertainment
10-12-2023,BOOKMYSHOW,325.39,Entertainment
29-07-2023,FLIPKART,5433,Shopping
29-05-2023,MCDONALDS,482.59,Food
13-04-2023,MYNTRA,2545.9,Shopping
13-06-2024,GROCERY STORE,2384.51,Food
02-01-2024,BLINKIT,795.95,Food
09-05-2023,BLINKIT,2486.51,Food
16-02-2023,NPS CONTRIBUTION,17480.38,Investment
01-03-2024,UPI/DECATHLON,6393.33,Shopping
25-04-2023,UPI/KFC,1451.64,Food
16-04-2024,MYNTRA,5820.71,Shopping
21-05-2024,GROCERY STORE,522.22,Food
09-04-2024,UPI/KFC,2163.49,Food
06-02-2024,BOOKMYSHOW,1475.55,Entertainment
16-11-2023,UPI/KFC,1217.86,Food
16-10-2023,STARBUCKS,2048.07,Food
19-05-2023,GROCERY STORE,1122.76,Food
24-01-2024,IGL GAS BILL,942.63,Utilities
03-10-2023,MYNTRA,6405.9,Shopping
23-05-2023,MYNTRA,7184.49,Shopping
07-04-2023,GROCERY STORE,432.04,Food
